age,predicted brain age,predicted brain age_adjusted
8,8.766333211,6.581272714
8.75,8.801687373,6.800268302
9.75,10.5167346,8.760170761
9.64,8.902590111,7.119092198
8.83,9.595483481,7.613652829
8.02,8.783982426,6.603819034
8.91,9.673125719,7.710883485
9.62,8.946997475,7.158602457
9.23,9.994669955,8.110781396
9.17,12.97366356,11.07508369
9.5,9.987693409,8.169915763
8.56,8.216356218,6.168414653
7.67,8.432881657,6.167018934
9.75,10.51681754,8.760253699
8.92,8.785440712,6.825647031
8.33,7.726366061,5.622107791
8.92,9.68671409,7.726920408
9.02,8.716962977,6.781654819
8.87,9.636152748,7.664116304
8.33,8.780298375,6.676040106
10,11.22506729,9.529717257
9.58,9.848491026,8.050301799
7.5,8.263766257,5.956278144
9.97,10.73176985,9.029074159
8.5,7.732743513,5.670110633
8.3,7.534171446,5.42256752
9.3,10.06559661,8.198847921
8.5,13.04810998,10.9854771
9,9.764670672,7.824465409
10,10.2919496,8.59659957
8.19,7.719600612,5.58106261
8.67,9.434732371,7.413724881
9.17,9.934414192,8.035834319
9.58,10.34545806,8.547268832
7.58,6.817603097,4.529703403
9.73,9.734042152,7.972581209
8.62,9.384873374,7.351623123
8.33,9.633087496,7.528829226
8.34,7.89809422,5.796284503
8.8,9.564022271,7.574845961
8.17,13.23217092,11.08873582
9.327047228,9.960538118,8.100412081
9.57687885,10.34056637,8.541612916
9.077215606,9.841176973,7.919878355
9.90998768,10.0980325,8.380642487
9.493601643,10.25915067,8.43980635
9.410324435,10.17278397,8.33304879
9.327047228,10.09355133,8.233425295
8.993938398,9.760510189,7.818820711
9.493601643,10.09165408,8.272309764
9.243770021,9.794422074,7.913905177
9.993264887,10.75870138,9.061702226
8.993938398,9.760475731,7.818786253
8.993938398,9.7598273,7.818137822
9.57687885,10.34224044,8.543286978
9.327047228,10.09391441,8.233788374
9.327047228,8.560491152,6.700365115
9.90998768,9.143809707,7.42641969
8.993938398,9.759319444,7.817629966
9.90998768,9.165614968,7.448224951
8.993938398,9.759512069,7.817822591
8.993938398,10.59525485,8.653565373
9.743433265,8.977141636,7.218969899
9.493601643,10.25694293,8.437598612
9.90998768,10.67341083,8.956020809
9.493601643,8.72785844,6.908514123
9.660156057,8.893975996,7.115413398
9.410324435,9.448396101,7.608660923
9.743433265,8.976616933,7.218445195
9.077215606,9.843472485,7.922173867
9.160492813,11.24735002,9.346442258
9.57687885,12.60637038,10.80741693
9.160492813,8.393728242,6.492820484
9.077215606,9.841832197,7.920533579
9.993264887,10.75910082,9.062101661
9.493601643,10.25903503,8.439690714
9.243770021,8.988370618,7.10785372
9.90998768,10.67215912,8.954769105
9.160492813,8.960584241,7.059676483
9.327047228,10.09248372,8.232357684
9.57687885,10.26862168,8.469668224
9.826710472,10.59212879,8.854347913
9.743433265,8.981557011,7.223385273
9.826710472,9.062868657,7.32508778
9.077215606,9.203187056,7.281888438
9.410324435,9.328003468,7.488268291
9.660156057,10.42603642,8.647473824
9.243770021,8.477572108,6.597055211
8.993938398,8.663399325,6.721709847
9.410324435,10.17585712,8.336121947
8.993938398,9.757527616,7.815838139
9.660156057,10.42300211,8.644439512
9.57687885,9.581694011,7.782740554
9.160492813,9.926303925,8.025396167
9.826710472,10.48689784,8.749116963
9.743433265,9.734391155,7.976219417
8.910661191,8.520659198,6.55857886
9.993264887,10.75613579,9.059136629
9.077215606,9.841578272,7.920279655
9.57687885,10.1197633,8.320809846
9.410324435,10.17293122,8.333196039
9.410324435,9.864043629,8.024308452
8.993938398,8.93196393,6.990274452
8.993938398,8.228277522,6.286588044
9.493601643,8.728290183,6.908945865
9.993264887,9.645516984,7.948517827
8.993938398,8.829260492,6.887571015
9.077215606,9.842934146,7.921635528
9.660156057,10.42515496,8.646592363
9.243770021,10.00659728,8.126080386
8.993938398,9.09997311,7.158283632
9.077215606,9.844350063,7.923051445
9.243770021,9.496096261,7.615579363
9.993264887,10.75983983,9.06284067
9.826710472,9.061749235,7.323968358
9.160492813,9.926627663,8.025719906
9.90998768,10.56360288,8.846212864
8.993938398,9.045700665,7.104011188
8.993938398,8.881187283,6.939497805
9.826710472,10.2169092,8.479128318
9.826710472,9.913289002,8.175508125
9.660156057,10.42443016,8.645867562
9.327047228,10.09251998,8.232393938
9.410324435,10.03423401,8.194498829
9.327047228,9.968102649,8.107976611
9.243770021,9.796821597,7.916304699
9.57687885,9.813811913,8.014858456
9.077215606,9.550683771,7.629385154
9.410324435,9.802882676,7.963147499
9.077215606,8.912842024,6.991543406
9.327047228,10.09248255,8.232356509
8.993938398,8.896236405,6.954546927
9.90998768,10.67525811,8.957868096
9.410324435,10.17356243,8.333827255
9.160492813,8.394543647,6.493635889
